node_index,node_id,longitude,latitude,rain_susceptibility,rain_susceptibility_dense,sensitivity_hits,evidence_rows
4778,Interpolated_3334166,98.91893768310547,30.589550018310547,0.0,0.476260244846344,3.0,12
4779,Interpolated_3334169,98.91924285888672,30.589599609375,0.0,0.3937050700187683,3.0,12
4780,Interpolated_3334172,98.9195327758789,30.589643478393555,0.0,0.4271996021270752,3.0,12
4781,Interpolated_3334175,98.9198226928711,30.589691162109375,0.27013638615608215,0.647935688495636,3.0,12
4782,Interpolated_3334178,98.92013549804688,30.589740753173828,0.08122774958610535,0.5594154000282288,3.0,12
4783,Interpolated_3334181,98.92046356201172,30.589792251586914,0.0,0.17475974559783936,2.0,12
4784,Interpolated_3334184,98.92076873779297,30.589841842651367,0.2944941520690918,0.6593494415283203,3.0,12
4785,Interpolated_3334187,98.92107391357422,30.58989143371582,0.0,0.4513048529624939,3.0,12
4786,Interpolated_3334190,98.92137145996094,30.589937210083008,0.0,0.3361392021179199,3.0,12
4787,Interpolated_3334193,98.92168426513672,30.58998680114746,0.04722525179386139,0.54348224401474,3.0,12
4788,Interpolated_3334196,98.92201232910156,30.59004020690918,0.0,0.5148398876190186,3.0,12
4789,Interpolated_3334199,98.92240142822266,30.59010124206543,0.0,0.4910861849784851,3.0,12
4790,Interpolated_3334202,98.92279815673828,30.590164184570312,0.20366759598255157,0.6167892217636108,3.0,12
4791,Interpolated_3334205,98.92323303222656,30.590232849121094,0.0,0.503533124923706,3.0,12
4792,Interpolated_3334208,98.923583984375,30.590288162231445,0.15501579642295837,0.5939915776252747,3.0,12
4793,Interpolated_3334211,98.92389678955078,30.5903377532959,0.0,0.3273003101348877,3.0,12
4794,Interpolated_3334214,98.92422485351562,30.590389251708984,0.1986280381679535,0.6144277453422546,3.0,12
4795,Interpolated_3334217,98.92457580566406,30.59044647216797,0.43335050344467163,0.7244158387184143,3.0,12
4796,Interpolated_3334220,98.9249496459961,30.590505599975586,0.2239997237920761,0.6263166069984436,3.0,12
4797,Interpolated_3334223,98.92530822753906,30.59056282043457,0.32012635469436646,0.6713603734970093,3.0,12
4798,Interpolated_3334226,98.92565155029297,30.59061622619629,0.17494164407253265,0.6033285856246948,3.0,12
4799,Interpolated_3334229,98.92597198486328,30.590667724609375,0.0,0.4484652280807495,3.0,12
4800,Interpolated_3334232,98.92630767822266,30.590721130371094,0.10518941283226013,0.5706435441970825,3.0,12
4801,Interpolated_3334235,98.92666625976562,30.590778350830078,0.022016258910298347,0.5316696166992188,3.0,12
4802,Interpolated_3334238,98.92706298828125,30.59084129333496,0.0034883487969636917,0.5229876637458801,3.0,12
4803,Interpolated_3334241,98.92742156982422,30.590898513793945,0.0,0.3220975399017334,3.0,12
4804,Interpolated_3334244,98.927734375,30.5909481048584,0.0,0.3603305220603943,3.0,12
4805,Interpolated_3334247,98.92809295654297,30.591005325317383,0.32642367482185364,0.6743112206459045,3.0,12
4806,Interpolated_3334250,98.92863464355469,30.591089248657227,0.1961117535829544,0.6132486462593079,3.0,12
4807,Interpolated_3334253,98.92914581298828,30.591171264648438,0.0,0.5050714015960693,3.0,12
4808,Interpolated_3334256,98.92961883544922,30.591245651245117,0.0,0.5211867094039917,3.0,12
4809,Interpolated_3334259,98.93004608154297,30.5913143157959,0.0,0.5189651846885681,3.0,12
4810,Interpolated_3334262,98.93042755126953,30.591373443603516,0.0,0.508614182472229,3.0,12
4811,Interpolated_3334265,98.9307632446289,30.591428756713867,0.0,0.5043401718139648,3.0,12
4812,Interpolated_3334268,98.93109130859375,30.591480255126953,0.0,0.3932430148124695,3.0,12
4813,Interpolated_3334271,98.93143463134766,30.591533660888672,0.36293697357177734,0.6914209127426147,3.0,12
4814,Interpolated_3334274,98.93180084228516,30.59159278869629,0.0,0.4743768572807312,3.0,12
4815,Interpolated_3334277,98.93219757080078,30.591655731201172,0.0,0.3631240725517273,3.0,12
4816,Interpolated_3334280,98.93262481689453,30.59172248840332,0.0,0.4249505400657654,3.0,12
4817,Interpolated_3336836,98.91675567626953,30.589332580566406,0.039801955223083496,0.540003776550293,3.0,12
4818,Interpolated_3336839,98.91703796386719,30.58937644958496,0.0,0.37041717767715454,3.0,12
4819,Interpolated_3336842,98.91732025146484,30.589420318603516,0.0,0.3959989547729492,3.0,12
4820,Interpolated_3336845,98.91766357421875,30.589475631713867,0.0,0.36188387870788574,3.0,12
4821,Interpolated_3336848,98.91804504394531,30.589536666870117,0.0,0.41261106729507446,3.0,12
4822,Interpolated_3336853,98.91862487792969,30.589628219604492,0.03246070072054863,0.5365637540817261,3.0,12
4823,Interpolated_3336856,98.9189682006836,30.589683532714844,0.0,0.3515973687171936,3.0,12
4824,Interpolated_3336859,98.91927337646484,30.589731216430664,0.3651350140571594,0.6924508810043335,3.0,12
4825,Interpolated_3336862,98.9195556640625,30.58977699279785,0.0,0.23953720927238464,2.0,12
4826,Interpolated_3336865,98.91984558105469,30.58982276916504,0.0,0.4840724468231201,3.0,12
4827,Interpolated_3336868,98.92017364501953,30.589874267578125,0.0,0.23631170392036438,3.0,12
4828,Interpolated_3336871,98.92049407958984,30.58992576599121,0.0,0.15012170374393463,2.0,12
4829,Interpolated_3336874,98.9207992553711,30.58997344970703,0.39096322655677795,0.7045536637306213,3.0,12
4830,Interpolated_3336877,98.92110443115234,30.590023040771484,0.0,0.39544016122817993,3.0,12
4831,Interpolated_3336880,98.92140197753906,30.590070724487305,0.5384758114814758,0.7736762762069702,3.0,12
4832,Interpolated_3336883,98.92169952392578,30.590118408203125,0.0,0.5151366591453552,3.0,12
4833,Interpolated_3336886,98.92202758789062,30.59016990661621,0.036735910922288895,0.538567066192627,3.0,12
4834,Interpolated_3336889,98.92243194580078,30.590234756469727,0.11057177931070328,0.5731656551361084,3.0,12
4835,Interpolated_3336892,98.92283630371094,30.59029769897461,0.440873920917511,0.7279412150382996,3.0,12
4836,Interpolated_3336895,98.92326354980469,30.59036636352539,0.03896879032254219,0.5396133661270142,3.0,12
4837,Interpolated_3336898,98.92362213134766,30.590423583984375,0.1546553075313568,0.5938226580619812,3.0,12
4838,Interpolated_3336901,98.92391967773438,30.590469360351562,0.0,0.5118207931518555,3.0,12
4839,Interpolated_3336904,98.92424774169922,30.59052276611328,0.11159714311361313,0.5736461281776428,3.0,12
4840,Interpolated_3336907,98.92459106445312,30.590576171875,0.20187228918075562,0.615947961807251,3.0,12
4841,Interpolated_3336910,98.92496490478516,30.590635299682617,0.03283136337995529,0.5367374420166016,3.0,12
4842,Interpolated_3336913,98.92532348632812,30.5906925201416,0.0,0.3998670279979706,3.0,12
4843,Interpolated_3336916,98.92566680908203,30.590747833251953,0.0,0.37513041496276855,3.0,12
4844,Interpolated_3336919,98.92601013183594,30.590801239013672,0.6455269455909729,0.8238391280174255,3.0,12
4845,Interpolated_3336922,98.92635345458984,30.590856552124023,0.0,0.37215566635131836,3.0,12
4846,Interpolated_3336925,98.92670440673828,30.590911865234375,0.0,0.5212813019752502,3.0,12
4847,Interpolated_3336928,98.92710876464844,30.59097671508789,0.19630293548107147,0.6133382320404053,3.0,12
4848,Interpolated_3336931,98.92745208740234,30.59103012084961,0.0,0.3298652172088623,3.0,12
4849,Interpolated_3336934,98.92774963378906,30.59107780456543,0.0,0.35052746534347534,3.0,12
4850,Interpolated_3336937,98.92811584472656,30.591135025024414,0.006091509014368057,0.5242074728012085,3.0,12
4851,Interpolated_3336940,98.92865753173828,30.591222763061523,0.036735910922288895,0.538567066192627,3.0,12
4852,Interpolated_3336943,98.9291763305664,30.591304779052734,0.04355398938059807,0.5417619347572327,3.0,12
